NPI,provider_state,HealthcareProviderTaxonomyCode_1,HealthcareProviderTaxonomyCode_2,HealthcareProviderTaxonomyCode_3,HealthcareProviderTaxonomyCode_4,HealthcareProviderTaxonomyCode_5,HealthcareProviderTaxonomyCode_6,HealthcareProviderTaxonomyCode_7,HealthcareProviderTaxonomyCode_8,HealthcareProviderTaxonomyCode_9,HealthcareProviderTaxonomyCode_10,HealthcareProviderTaxonomyCode_11,HealthcareProviderTaxonomyCode_12,HealthcareProviderTaxonomyCode_13,HealthcareProviderTaxonomyCode_14,HealthcareProviderTaxonomyCode_15,HealthcareProviderPrimaryTaxonomySwitch_1,HealthcareProviderPrimaryTaxonomySwitch_2,HealthcareProviderPrimaryTaxonomySwitch_3,HealthcareProviderPrimaryTaxonomySwitch_4,HealthcareProviderPrimaryTaxonomySwitch_5,HealthcareProviderPrimaryTaxonomySwitch_6,HealthcareProviderPrimaryTaxonomySwitch_7,HealthcareProviderPrimaryTaxonomySwitch_8,HealthcareProviderPrimaryTaxonomySwitch_9,HealthcareProviderPrimaryTaxonomySwitch_10,HealthcareProviderPrimaryTaxonomySwitch_11,HealthcareProviderPrimaryTaxonomySwitch_12,HealthcareProviderPrimaryTaxonomySwitch_13,HealthcareProviderPrimaryTaxonomySwitch_14,HealthcareProviderPrimaryTaxonomySwitch_15,last_updated,entity_type,provider_gender,provider_age
1396749347,HI,207N00000X,207N00000X,207N00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015-01-27,individual,male,60
1124022801,ID,207N00000X,207N00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014-02-05,individual,male,54
1801891049,VT,207N00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-07-13,individual,female,49
1801891569,ID,174400000X,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-09-02,individual,female,47
1598761306,VT,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-10-22,individual,female,45
1215933940,ID,207N00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-10-15,individual,male,54
1124025762,VT,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-06,individual,male,55
1235136896,VT,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-06,individual,female,48
1003813346,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-09,individual,male,56
1306843537,VT,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-06,individual,female,46
1811994593,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,male,62
1528066222,ID,207V00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-07-08,individual,female,46
1417954322,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-12-12,individual,female,46
1982602637,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-09-10,individual,female,44
1134127467,VT,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2008-01-25,individual,male,60
1477552008,ID,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-07-12,individual,female,45
1548269285,HI,208000000X,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-05-25,individual,male,47
1730188210,ID,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-08-09,individual,female,43
1215936638,ID,207N00000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2007-10-29,organization,NA,NA
1871592238,ID,208000000X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-08-09,individual,female,46
