NPI,provider_state,last_updated,entity_type,provider_gender,provider_age,pair_number,HealthcareProviderTaxonomyCode,HealthcareProviderPrimaryTaxonomySwitch
1801891569,ID,2008-09-02,individual,female,47,2,207V00000X,Y
1710987664,HI,2009-07-27,individual,male,61,1,207P00000X,Y
1275533184,ID,2014-08-07,individual,male,49,1,207V00000X,Y
1386644318,ID,2012-03-01,individual,male,51,1,207V00000X,Y
1497757223,HI,2011-09-15,individual,male,62,1,207V00000X,Y
1427041730,ID,2016-01-28,individual,male,55,1,207P00000X,Y
1760475081,ID,2010-02-23,individual,male,52,1,207P00000X,Y
1891788196,ID,2016-01-29,individual,male,45,1,207P00000X,Y
1144213455,ID,2016-06-14,individual,male,52,1,207P00000X,Y
1851384143,ID,2016-01-28,individual,male,49,1,207P00000X,Y
1548253842,ID,2016-01-28,individual,male,45,1,207P00000X,Y
1396738696,ID,2016-01-28,individual,male,48,1,207P00000X,Y
1740273044,ID,2016-01-28,individual,male,52,1,207P00000X,Y
1558354852,ID,2010-07-01,individual,male,45,1,207P00000X,Y
1134112444,ID,2016-01-29,individual,male,44,1,207P00000X,Y
1629061940,ID,2016-01-28,individual,male,45,1,207P00000X,Y
1689667651,ID,2010-02-23,individual,male,54,1,207P00000X,Y
1508850397,ID,2016-10-05,individual,male,49,1,207P00000X,Y
1194719732,ID,2013-10-29,individual,male,47,1,207V00000X,Y
1255325882,ID,2012-09-13,individual,male,51,1,207V00000X,Y
1508850140,ID,2011-03-04,individual,male,41,1,207V00000X,Y
1982699435,ID,2013-07-30,individual,male,48,1,207V00000X,Y
1790770246,ID,2013-12-06,individual,female,42,1,207V00000X,Y
1861488413,ID,2010-09-10,individual,male,50,1,207P00000X,Y
1639165244,HI,2011-11-22,individual,male,58,1,207V00000X,Y
1013903640,HI,2009-06-17,individual,male,54,2,207P00000X,Y
1316934698,HI,2008-08-07,individual,female,46,1,207V00000X,Y
1841280898,ID,2013-12-18,individual,male,45,1,207V00000X,Y
1669462149,ID,2012-07-19,individual,female,44,1,207V00000X,Y
1710978036,ID,2015-09-25,individual,male,51,1,207P00000X,Y
1477536472,HI,2011-09-07,individual,male,62,1,207V00000X,Y
1922082049,HI,2016-07-28,individual,male,60,1,207V00000X,Y
1811971930,HI,2011-09-27,individual,female,49,1,207V00000X,Y
1518941632,HI,2015-03-26,individual,female,49,1,207V00000X,Y
1699759746,HI,2015-11-09,individual,female,48,1,207V00000X,Y
1467436006,HI,2011-05-19,individual,male,66,2,207V00000X,Y
1700861812,HI,2015-09-25,individual,female,54,1,207V00000X,Y
1780661215,ID,2014-01-06,individual,male,43,1,207P00000X,Y
1891772299,HI,2009-02-04,individual,female,51,1,207V00000X,Y
